Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
Men of Valor,XB,2004,Shooter,Vivendi Games,2015,M
Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,10tacle Studios,T
Secret Files: Tunguska,Wii,2008,Adventure,Koch Media,"10tacle Studios, Fusionsphere Systems",T
Secret Files: Tunguska,DS,2008,Adventure,Deep Silver,"10tacle Studios, Fusionsphere Systems",T
IL-2 Sturmovik,PC,2001,Simulation,Blue Byte,"1C, 1C Company",T
IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,Ubisoft,"1C, 1C Company",T
Majesty 2: The Fantasy Kingdom Sim,PC,2009,Simulation,Paradox Interactive,"1C, Ino-Co, 1C Company",T
Majesty 2: The Fantasy Kingdom Sim,X360,N/A,Simulation,Unknown,"1C, Ino-Co, 1C Company",
Blitzkrieg 2 Anthology,PC,2008,Strategy,Ascaron Entertainment GmbH,"1C, Various, 1C Company",
IL-2 Sturmovik: 1946,PC,2006,Simulation,Ubisoft,1C: Maddox Games,T
IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,Ubisoft,1C: Maddox Games,T
Elven Legacy,PC,2009,Strategy,Paradox Interactive,1C:Ino-Co,T
Elven Legacy Collection,PC,2010,Strategy,Paradox Interactive,1C:Ino-Co,
Disney Princess: Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1st Playable Productions,E
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher,1st Playable Productions,E10+
Marvel Trading Card Game,DS,2007,Misc,Konami Digital Entertainment,1st Playable Productions,T
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,1st Playable Productions,E
Ener-G: Gym Rockets,DS,2008,Sports,Ubisoft,1st Playable Productions,E
GoPets: Vacation Island,DS,2008,Simulation,Konami Digital Entertainment,1st Playable Productions,E
Imagine: Cheerleader,DS,2009,Simulation,Ubisoft,1st Playable Productions,E
Moxie Girlz,DS,2011,Misc,GameMill Entertainment,1st Playable Productions,E
Santa Claus Is Comin' to Town!,Wii,2011,Puzzle,Crave Entertainment,1st Playable Productions,E
Ben 10 Omniverse 2,3DS,2013,Action,Namco Bandai Games,1st Playable Productions,E10+
Pet Zombies,3DS,N/A,Simulation,Majesco Entertainment,1st Playable Productions,T
The Hidden,3DS,N/A,Adventure,Unknown,1st Playable Productions,E10+
World of Goo,PC,2008,Puzzle,2D Boy,2D Boy,E
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,2K Australia,M
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,2K Australia,M
Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,2K Australia,M
Mafia II,X360,2010,Action,Take-Two Interactive,2K Czech,M
Mafia II,PS3,2010,Action,Take-Two Interactive,2K Czech,M
Mafia II,PC,2010,Action,Take-Two Interactive,2K Czech,M
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,2K Czech,E
Top Spin 4,X360,2011,Sports,Take-Two Interactive,2K Czech,E
Ford vs. Chevy,XB,2005,Racing,Global Star,2K Games,E
Top Spin 4,Wii,2011,Sports,Take-Two Interactive,2K Games,E
BioShock The Collection,PS4,2016,Shooter,Take-Two Interactive,2K Games,M
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,2K Games,M
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,2K Games,E
NBA 2K17,X360,2016,Sports,Take-Two Interactive,2K Games,E
BioShock 2,X360,2010,Shooter,Take-Two Interactive,2K Marin,M
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,PS3,2013,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,2K Marin,M
The Bureau: XCOM Declassified,PC,2013,Shooter,Take-Two Interactive,2K Marin,M
BioShock 2,PC,N/A,Shooter,Take-Two Interactive,2K Marin,M
Dora's Big Birthday Adventure,DS,2010,Misc,Take-Two Interactive,2K Play,E
Dora's Big Birthday Adventure,PS2,2010,Misc,Take-Two Interactive,2K Play,E
Don King Boxing,Wii,2009,Sports,Take-Two Interactive,2K Shanghai,T
NHL 2K6,PS2,2005,Sports,Take-Two Interactive,2K Sports,E10+
NHL 2K6,XB,2005,Sports,Take-Two Interactive,2K Sports,E10+
Amped 3,X360,2005,Sports,Take-Two Interactive,2K Sports,T
NHL 2K6,X360,2005,Sports,Take-Two Interactive,2K Sports,E10+
College Hoops 2K6,XB,2005,Sports,Take-Two Interactive,2K Sports,E
World Poker Tour,XB,2005,Misc,Take-Two Interactive,2K Sports,T
College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,2K Sports,E
College Hoops 2K6,X360,2006,Sports,Take-Two Interactive,2K Sports,E
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,2K Sports,E
Major League Baseball 2K8,PS2,2008,Sports,Bethesda Softworks,2K Sports,E
Major League Baseball 2K9,X360,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,Wii,2009,Sports,Take-Two Interactive,2K Sports,E
Major League Baseball 2K9,PS3,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,PS2,2009,Sports,Spike,2K Sports,E
Major League Baseball 2K9,PSP,2009,Sports,Spike,2K Sports,E
NBA 2K16,PC,2015,Sports,Take-Two Interactive,2K Sports,E10+
College Hoops 2K6,PS2,N/A,Sports,Unknown,2K Sports,E
Baja: Edge of Control,PS3,2008,Racing,THQ,2XL Games,E
Baja: Edge of Control,X360,2008,Racing,THQ,2XL Games,E
Halo: Combat Evolved Anniversary,X360,2011,Shooter,Microsoft Game Studios,343 Industries,M
Halo 4,X360,2012,Shooter,Microsoft Game Studios,343 Industries,M
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,343 Industries,M
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,343 Industries,T
